"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","236","test_login_invalid","API","2026-06-24","passed","2026-06-24","TestLogin","test_auth","",""
"","839","test_login_invalid_username[empty-user-pass]","CHROMIUM","2026-06-24","passed","2026-06-24","TestLogin","test_login","",""
"","3988","test_full_login_logout_valid","WEBKIT","2026-06-24","passed","2026-06-24","TestLogin","test_login","",""
"","256","test_create_post","API","2026-06-24","passed","2026-06-24","TestPostsCRUD","test_posts","",""
"","798","test_get_single_post_invalid[0]","API","2026-06-24","passed","2026-06-24","TestGetPosts","test_posts","",""
"","1546","test_main","WEBKIT","2026-06-24","passed","2026-06-24","","test_main","",""
"","286","test_login_valid","API","2026-06-24","passed","2026-06-24","TestLogin","test_auth","",""
"","2236","test_login_invalid_username[wrong-user-pass]","WEBKIT","2026-06-24","passed","2026-06-24","TestLogin","test_login","",""
"","2204","test_login_invalid_password[empty-pass]","WEBKIT","2026-06-24","passed","2026-06-24","TestLogin","test_login","",""
"","452","test_update_post_partial","API","2026-06-24","passed","2026-06-24","TestPostsCRUD","test_posts","",""
"","741","test_get_single_post[251]","API","2026-06-24","passed","2026-06-24","TestGetPosts","test_posts","",""
"","538","test_main","CHROMIUM","2026-06-24","passed","2026-06-24","","test_main","",""
"","256","test_get_single_post[150]","API","2026-06-24","passed","2026-06-24","TestGetPosts","test_posts","",""
"","2248","test_login_invalid_username[wrong-user]","WEBKIT","2026-06-24","passed","2026-06-24","TestLogin","test_login","",""
"","850","test_login_invalid_username[empty-user]","CHROMIUM","2026-06-24","passed","2026-06-24","TestLogin","test_login","",""
"","256","test_get_single_post[1]","API","2026-06-24","passed","2026-06-24","TestGetPosts","test_posts","",""
"","1069","test_full_login_logout_valid","CHROMIUM","2026-06-24","passed","2026-06-24","TestLogin","test_login","",""
"","854","test_login_invalid_username[wrong-user-pass]","CHROMIUM","2026-06-24","passed","2026-06-24","TestLogin","test_login","",""
"","2188","test_login_invalid_username[empty-user]","WEBKIT","2026-06-24","passed","2026-06-24","TestLogin","test_login","",""
"","251","test_auth_me_endpoint_invalid","API","2026-06-24","passed","2026-06-24","TestGetAuthUser","test_auth","",""
"","268","test_response_time","API","2026-06-24","passed","2026-06-24","","test_performance","",""
"","833","test_login_invalid_username[wrong-user]","CHROMIUM","2026-06-24","passed","2026-06-24","TestLogin","test_login","",""
"","262","test_user_me_endpoint_valid","API","2026-06-24","passed","2026-06-24","TestGetAuthUser","test_auth","",""
"","2210","test_login_invalid_username[empty-user-pass]","WEBKIT","2026-06-24","passed","2026-06-24","TestLogin","test_login","",""
"","786","test_login_invalid_password[wrong-pass]","CHROMIUM","2026-06-24","passed","2026-06-24","TestLogin","test_login","",""
"","257","test_get_single_post_invalid[252]","API","2026-06-24","passed","2026-06-24","TestGetPosts","test_posts","",""
"","2190","test_login_invalid_password[wrong-pass]","WEBKIT","2026-06-24","passed","2026-06-24","TestLogin","test_login","",""
"","266","test_create_post_invalid","API","2026-06-24","passed","2026-06-24","TestPostsCRUD","test_posts","",""
"","251","test_delete_post","API","2026-06-24","passed","2026-06-24","TestPostsCRUD","test_posts","",""
"","770","test_login_invalid_password[empty-pass]","CHROMIUM","2026-06-24","passed","2026-06-24","TestLogin","test_login","",""
"","453","test_auth_me_endpoint_valid","API","2026-06-24","passed","2026-06-24","TestGetAuthUser","test_auth","",""
"","250","test_update_post_full","API","2026-06-24","passed","2026-06-24","TestPostsCRUD","test_posts","",""
"","83","test_get_all_posts","API","2026-06-24","passed","2026-06-24","TestGetPosts","test_posts","",""
